onnx,vnnlib,abc,abc_t,vc,vc_wall,miss
./onnx/mnist_concat.onnx,./vnnlib/index6136_delta0.13.vnnlib,unsat,6.451995029,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index4799_delta0.13.vnnlib,unsat,6.823025432,verified,2.7,
./onnx/mnist_concat.onnx,./vnnlib/index3444_delta0.13.vnnlib,unsat,6.810088195,verified,2.4,
./onnx/mnist_concat.onnx,./vnnlib/index5328_delta0.13.vnnlib,unsat,6.378812503,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index1031_delta0.13.vnnlib,unsat,6.447922812,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index3401_delta0.13.vnnlib,unsat,8.281178892,verified,2.8,
./onnx/mnist_concat.onnx,./vnnlib/index9101_delta0.13.vnnlib,unsat,6.449035897,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index7109_delta0.13.vnnlib,unsat,6.829624747,verified,2.4,
./onnx/mnist_concat.onnx,./vnnlib/index4312_delta0.13.vnnlib,sat,7.028542303,sat,1.6,
./onnx/mnist_concat.onnx,./vnnlib/index9203_delta0.13.vnnlib,unsat,6.464153092,verified,3.0,
./onnx/mnist_concat.onnx,./vnnlib/index1929_delta0.13.vnnlib,unsat,6.432217207,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index6217_delta0.13.vnnlib,unsat,6.453213634,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index4272_delta0.13.vnnlib,sat,7.019864899,sat,1.6,
./onnx/mnist_concat.onnx,./vnnlib/index316_delta0.13.vnnlib,unsat,6.410989956,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index2750_delta0.13.vnnlib,unsat,9.884710933,verified,20.0,
./onnx/mnist_concat.onnx,./vnnlib/index7336_delta0.13.vnnlib,unsat,6.408706503,verified,2.3,
./onnx/mnist_concat.onnx,./vnnlib/index1453_delta0.13.vnnlib,unsat,6.436077273,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index112_delta0.13.vnnlib,unsat,10.048275539,verified,150.1,
./onnx/mnist_concat.onnx,./vnnlib/index6936_delta0.13.vnnlib,unsat,6.863043434,verified,2.3,
./onnx/mnist_concat.onnx,./vnnlib/index6574_delta0.13.vnnlib,unsat,6.400360079,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index7281_delta0.13.vnnlib,unsat,6.698683962,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index6551_delta0.13.vnnlib,unsat,8.300134440,verified,2.3,
./onnx/mnist_concat.onnx,./vnnlib/index6412_delta0.13.vnnlib,unsat,6.408351257,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index3552_delta0.13.vnnlib,unsat,6.418085171,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index3805_delta0.13.vnnlib,unsat,8.985231963,verified,2.4,
./onnx/mnist_concat.onnx,./vnnlib/index668_delta0.13.vnnlib,unsat,6.583381491,verified,2.3,
./onnx/mnist_concat.onnx,./vnnlib/index7175_delta0.13.vnnlib,unsat,6.452534953,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index4286_delta0.13.vnnlib,unsat,6.381351328,verified,2.5,
./onnx/mnist_concat.onnx,./vnnlib/index5385_delta0.13.vnnlib,unsat,6.907355069,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index5391_delta0.13.vnnlib,unsat,6.429514255,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index6354_delta0.13.vnnlib,unsat,6.403165630,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index5020_delta0.13.vnnlib,unsat,6.392125897,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index7106_delta0.13.vnnlib,unsat,6.763960347,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index4148_delta0.13.vnnlib,unsat,6.417646813,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index6199_delta0.13.vnnlib,unsat,6.796327585,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index7534_delta0.13.vnnlib,sat,7.024267107,sat,1.6,
./onnx/mnist_concat.onnx,./vnnlib/index9021_delta0.13.vnnlib,unsat,6.394921089,verified,2.2,
./onnx/mnist_concat.onnx,./vnnlib/index6107_delta0.13.vnnlib,unsat,8.661118204,verified,2.3,
